precision,recall,f1-score,support,epoch
0.0,0.0,0.0,5916.0,1
0.0,0.0,0.0,378.0,1
0.0,0.0,0.0,1128.0,1
0.0,0.0,0.0,420.0,1
0.0,0.0,0.0,576.0,1
0.0,0.0,0.0,5688.0,1
0.0,0.0,0.0,5040.0,1
0.0,0.0,0.0,2226.0,1
0.0,0.0,0.0,420.0,1
0.0,0.0,0.0,156.0,1
0.0,0.0,0.0,2640.0,1
0.0,0.0,0.0,570.0,1
0.0,0.0,0.0,324.0,1
0.0,0.0,0.0,444.0,1
0.0,0.0,0.0,450.0,1
0.0,0.0,0.0,282.0,1
0.0,0.0,0.0,396.0,1
0.0,0.0,0.0,456.0,1
0.0,0.0,0.0,894.0,1
0.0,0.0,0.0,534.0,1
0.0,0.0,0.0,156.0,1
0.0,0.0,0.0,156.0,1
0.0,0.0,0.0,90.0,1
0.0,0.0,0.0,108.0,1
0.0,0.0,0.0,156.0,1
0.0,0.0,0.0,300.0,1
0.0,0.0,0.0,240.0,1
0.0,0.0,0.0,120.0,1
0.0,0.0,0.0,54.0,1
0.0,0.0,0.0,54.0,1
0.0,0.0,0.0,78.0,1
0.0,0.0,0.0,228.0,1
0.0,0.0,0.0,264.0,1
0.0,0.0,0.0,222.0,1
0.0,0.0,0.0,42.0,1
0.0,0.0,0.0,72.0,1
0.0,0.0,0.0,66.0,1
0.0,0.0,0.0,216.0,1
0.0,0.0,0.0,126.0,1
0.0,0.0,0.0,360.0,1
0.0,0.0,0.0,414.0,1
0.0,0.0,0.0,60.0,1
0.0,0.0,0.0,72.0,1
0.0,0.0,0.0,32592.0,1
0.0,0.0,0.0,32592.0,1
0.0,0.0,0.0,32592.0,1
0.0,0.0,0.0,32592.0,1
