Epoch,Training Loss,Validation Loss
1,0.13721832404865833,0.04845639920268063
2,0.032548208623148084,0.010172095423367049
3,0.011140485719693583,0.0026916090335958693
4,0.004208413599476205,0.0010335427123172182
5,0.002081227478530749,0.0007238155105217624
6,0.0012028933974717398,0.00026161111543920504
7,0.0006823121119104599,0.00018710114964495732
8,0.0004803367589413324,0.00011098790109863997
9,0.0003884904880240584,0.00010411312007108754
10,0.00030108497144420136,0.00012688950878355672
11,0.00023341095092060222,0.00013080599356761648
12,0.00022712269118700706,6.073196358327054e-05
13,0.00016961166703566746,6.260188397604193e-05
14,0.00013206802132738926,0.00010881028777785215
15,0.00010989239523507406,7.743032379252523e-05
16,7.714582814358109e-05,4.930667699573729e-05
17,7.193299036776916e-05,0.0005872997175187962
18,8.761146978315392e-05,8.700508850647001e-05
