epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,0.9982147411374649,0.9985972966080081,0.9996174445294568,0.9996174445294568,0.9993624075490947,0.9982147411374649,0.9984697781178271,0.9991073705687324,0.9996174445294568,0.9994899260392757,0.9980872226472839,0.986610558530987,0.9667176740627391,0.9572813057893395,0.9451670492221372,0.9640397857689365,0.9663351185921959,0.9645498597296608,0.976664116296863,0.9779393011986738,0.9994899260392757,0.981637337413925,0.9885233358837031,0.9862280030604438,0.9801071155317521,0.9762815608263198,0.9924764090793164,0.9945167049222137,0.9931140015302219,0.9931140015302219,0.990053557765876,0.9969395562356542,0.9843152257077277,0.9987248150981892,0.9946442234123948,0.9908186687069626,0.991583779648049,0.9742412649834226,0.9839326702371843,0.9848252996684519,0.983295077786279,0.9923488905891354,0.9908186687069626
2,1.0,1.0,1.0,1.0,0.9997449630196379,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9974496301963784,0.9940066309614894,0.9904361132364193,0.9901810762560571,0.9945167049222137,0.9977046671767407,0.9896710022953328,0.9984697781178271,0.9988523335883703,0.9998724815098189,0.9988523335883703,0.9984697781178271,0.9957918898240244,0.9988523335883703,0.9987248150981892,0.9998724815098189,0.9996174445294568,0.9989798520785514,0.9989798520785514,1.0,1.0,0.9994899260392757,0.9998724815098189,0.9955368528436623,0.9942616679418516,0.9993624075490947,0.9864830400408059,0.988268298903341,0.9993624075490947,0.9974496301963784,0.9959194083142056,0.9997449630196379
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985972966080081,0.9991073705687324,0.9975771486865596,0.9971945932160163,0.9988523335883703,0.9992348890589136,0.9978321856669217,0.9994899260392757,0.9998724815098189,1.0,1.0,0.9998724815098189,0.9982147411374649,0.9993624075490947,0.9997449630196379,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,0.9996174445294568,0.9980872226472839,1.0,0.9994899260392757,0.9991073705687324,0.9997449630196379,1.0,0.9998724815098189,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987248150981892,0.9994899260392757,0.9996174445294568,0.9989798520785514,0.9992348890589136,0.9997449630196379,0.9989798520785514,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9993624075490947,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9997449630196379,0.9994899260392757,0.9987248150981892,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998342259627646,0.9991073705687324,1.0,0.9998724815098189,0.9996174445294568,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9993624075490947,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,0.9997449630196379,0.9997449630196379,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9997449630196379,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9997449630196379,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9996174445294568,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996174445294568,0.9997449630196379,0.9994899260392757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,0.9998724815098189
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,0.9998724815098189,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994899260392757,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987248150981892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987248150981892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,0.9998724815098189,0.9996174445294568,1.0,0.9996174445294568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
