precision,recall,f1-score,support,epoch
1.0,0.9523809523809523,0.975609756097561,42.0,1
0.9977528089887641,1.0,0.9988751406074241,444.0,1
1.0,1.0,1.0,450.0,1
1.0,1.0,1.0,282.0,1
1.0,1.0,1.0,396.0,1
0.9973190348525469,1.0,0.9986577181208054,372.0,1
1.0,1.0,1.0,84.0,1
1.0,1.0,1.0,288.0,1
1.0,1.0,1.0,282.0,1
1.0,1.0,1.0,294.0,1
1.0,1.0,1.0,402.0,1
1.0,1.0,1.0,264.0,1
1.0,1.0,1.0,420.0,1
1.0,1.0,1.0,432.0,1
1.0,1.0,1.0,156.0,1
1.0,1.0,1.0,126.0,1
1.0,1.0,1.0,84.0,1
1.0,1.0,1.0,222.0,1
1.0,1.0,1.0,240.0,1
1.0,1.0,1.0,42.0,1
1.0,1.0,1.0,72.0,1
1.0,1.0,1.0,66.0,1
1.0,1.0,1.0,78.0,1
1.0,1.0,1.0,102.0,1
1.0,1.0,1.0,54.0,1
1.0,1.0,1.0,300.0,1
1.0,1.0,1.0,120.0,1
1.0,1.0,1.0,48.0,1
1.0,1.0,1.0,108.0,1
1.0,1.0,1.0,54.0,1
1.0,1.0,1.0,90.0,1
1.0,1.0,1.0,156.0,1
1.0,1.0,1.0,48.0,1
1.0,1.0,1.0,138.0,1
1.0,1.0,1.0,84.0,1
1.0,1.0,1.0,240.0,1
1.0,1.0,1.0,78.0,1
1.0,1.0,1.0,42.0,1
1.0,1.0,1.0,414.0,1
1.0,1.0,1.0,60.0,1
1.0,1.0,1.0,72.0,1
1.0,1.0,1.0,48.0,1
1.0,1.0,1.0,48.0,1
0.9997449630196379,0.9997449630196379,0.9997449630196379,0.9997449630196379,1
0.9998853917172398,0.998892580287929,0.9993754096471114,7842.0,1
0.9997455914506705,0.9997449630196379,0.9997420101156254,7842.0,1
1.0,0.9523809523809523,0.975609756097561,42.0,2
0.9977528089887641,1.0,0.9988751406074241,444.0,2
1.0,1.0,1.0,450.0,2
1.0,1.0,1.0,282.0,2
1.0,1.0,1.0,396.0,2
0.9973190348525469,1.0,0.9986577181208054,372.0,2
1.0,1.0,1.0,84.0,2
1.0,1.0,1.0,288.0,2
1.0,1.0,1.0,282.0,2
1.0,1.0,1.0,294.0,2
1.0,1.0,1.0,402.0,2
1.0,1.0,1.0,264.0,2
1.0,1.0,1.0,420.0,2
1.0,1.0,1.0,432.0,2
1.0,1.0,1.0,156.0,2
1.0,1.0,1.0,126.0,2
1.0,1.0,1.0,84.0,2
1.0,1.0,1.0,222.0,2
1.0,1.0,1.0,240.0,2
1.0,1.0,1.0,42.0,2
1.0,1.0,1.0,72.0,2
1.0,1.0,1.0,66.0,2
1.0,1.0,1.0,78.0,2
1.0,1.0,1.0,102.0,2
1.0,1.0,1.0,54.0,2
1.0,1.0,1.0,300.0,2
1.0,1.0,1.0,120.0,2
1.0,1.0,1.0,48.0,2
1.0,1.0,1.0,108.0,2
1.0,1.0,1.0,54.0,2
1.0,1.0,1.0,90.0,2
