Epoch,Training Loss,Validation Loss
1,0.03203906976546753,0.0013820131933136393
2,0.0018453412747342678,0.0005499457617057014
3,0.0011253029230510645,0.000585217582303253
4,0.0009643338585978522,0.00015687427187963284
5,0.0007886240930482858,0.00046359985109896445
6,0.0004950408398095484,0.0002095025244491302
7,0.00034454115598758734,0.0001357103784485416
8,0.0007541438046507299,0.13020390958687952
9,0.00033912255503402766,0.0006707459158938527
10,0.00026586861063065644,0.13099862731406497
11,0.0003550489705984375,0.00017232902437697614
