precision,recall,f1-score,support,epoch
0.0,0.0,0.0,42.0,1
1.0,1.0,1.0,444.0,1
1.0,1.0,1.0,450.0,1
1.0,1.0,1.0,282.0,1
1.0,1.0,1.0,396.0,1
0.8153846153846154,0.9973118279569892,0.8972188633615478,372.0,1
0.0,0.0,0.0,84.0,1
0.9965397923875432,1.0,0.9982668977469671,288.0,1
0.8672839506172839,0.9964539007092199,0.9273927392739274,282.0,1
0.7538461538461538,1.0,0.8596491228070176,294.0,1
0.7528089887640449,1.0,0.8589743589743589,402.0,1
1.0,1.0,1.0,264.0,1
1.0,1.0,1.0,420.0,1
0.4090909090909091,1.0,0.5806451612903226,432.0,1
1.0,1.0,1.0,156.0,1
1.0,1.0,1.0,126.0,1
0.0,0.0,0.0,84.0,1
1.0,1.0,1.0,222.0,1
1.0,1.0,1.0,240.0,1
0.0,0.0,0.0,42.0,1
0.0,0.0,0.0,72.0,1
0.0,0.0,0.0,66.0,1
0.0,0.0,0.0,78.0,1
1.0,1.0,1.0,102.0,1
0.0,0.0,0.0,54.0,1
1.0,1.0,1.0,300.0,1
0.0,0.0,0.0,120.0,1
0.0,0.0,0.0,48.0,1
1.0,1.0,1.0,108.0,1
0.0,0.0,0.0,54.0,1
0.0,0.0,0.0,90.0,1
1.0,1.0,1.0,156.0,1
0.0,0.0,0.0,48.0,1
1.0,1.0,1.0,138.0,1
1.0,1.0,1.0,84.0,1
0.6666666666666666,1.0,0.8,240.0,1
0.0,0.0,0.0,78.0,1
0.0,0.0,0.0,42.0,1
0.7582417582417582,1.0,0.8625,414.0,1
0.0,0.0,0.0,60.0,1
0.0,0.0,0.0,72.0,1
0.0,0.0,0.0,48.0,1
0.0,0.0,0.0,48.0,1
0.842897220096914,0.842897220096914,0.842897220096914,0.842897220096914,1
0.5120898333720691,0.5579945518294467,0.5298755149640498,7842.0,1
0.7520785455952613,0.842897220096914,0.7866295945278302,7842.0,1
