Epoch,Batch,Training Loss
1,20,5.4016709327697754e-08
1,40,5.655549466609955e-05
1,60,6.609223783016205e-05
1,80,1.0386109352111816e-05
1,100,8.877366781234741e-06
1,120,3.0374154448509216e-05
1,140,3.2726675271987915e-05
1,160,1.132674515247345e-05
1,180,5.036592483520508e-06
1,200,9.24617052078247e-06
1,220,8.553266525268555e-06
1,240,0.00037444382905960083
1,260,5.587935447692871e-09
1,280,2.734549343585968e-05
1,300,4.957802593708038e-05
1,320,3.643706440925598e-05
1,340,3.056041896343231e-05
1,360,8.767470717430115e-06
1,380,1.545622944831848e-05
1,400,1.3686716556549072e-05
1,420,1.8496066331863403e-05
1,440,5.561858415603638e-06
1,460,1.0326504707336426e-05
1,480,9.607523679733276e-06
2,20,8.50483775138855e-06
2,40,7.955357432365417e-06
2,60,2.222880721092224e-05
2,80,1.0445713996887207e-05
2,100,9.775161743164062e-06
2,120,3.119930624961853e-06
2,140,2.987682819366455e-06
2,160,1.4120712876319885e-05
2,180,1.366250216960907e-05
2,200,1.0348856449127197e-05
2,220,2.4884939193725586e-06
2,240,4.783272743225098e-06
2,260,3.166496753692627e-08
2,280,6.504356861114502e-06
2,300,4.161149263381958e-06
2,320,7.929280400276184e-06
2,340,5.738809704780579e-06
2,360,3.688037395477295e-06
2,380,0.0
2,400,5.166977643966675e-06
2,420,6.54514878988266e-05
2,440,7.450580596923828e-09
2,460,0.0001678280532360077
2,480,9.313225746154785e-09
3,20,6.833113729953766e-05
3,40,4.425644874572754e-05
3,60,5.5704265832901e-05
3,80,2.3536384105682373e-05
3,100,7.450580596923828e-09
3,120,3.836117684841156e-05
3,140,0.0
3,160,1.0715797543525696e-05
3,180,9.857118129730225e-06
3,200,1.3608485460281372e-05
3,220,1.6961246728897095e-05
3,240,1.1857599020004272e-05
3,260,5.587935447692871e-09
3,280,0.0001590326428413391
3,300,3.9404258131980896e-05
3,320,2.699345350265503e-05
3,340,2.0137056708335876e-05
3,360,1.5679746866226196e-05
3,380,3.8251280784606934e-05
3,400,1.0771676898002625e-05
3,420,9.587034583091736e-06
3,440,3.3503398299217224e-05
3,460,2.94465571641922e-05
3,480,3.248080611228943e-05
4,20,1.1311843991279602e-05
4,40,1.0481104254722595e-05
4,60,4.8317015171051025e-06
4,80,4.470348358154297e-06
4,100,4.218891263008118e-06
4,120,7.877126336097717e-06
4,140,1.117214560508728e-05
4,160,1.051090657711029e-05
4,180,3.3266842365264893e-06
4,200,3.1311064958572388e-06
4,220,5.964189767837524e-06
4,240,2.8349459171295166e-06
4,260,1.0751187801361084e-05
4,280,7.776543498039246e-06
4,300,7.487833499908447e-06
4,320,4.772096872329712e-06
4,340,6.945803761482239e-06
4,360,8.89599323272705e-06
4,380,2.1010637283325195e-06
4,400,4.08664345741272e-06
4,420,3.915280103683472e-06
4,440,1.8887221813201904e-06
4,460,1.823529601097107e-06
4,480,7.302872836589813e-05
5,20,4.778429865837097e-05
5,40,8.073635399341583e-05
5,60,7.397308945655823e-05
5,80,2.901814877986908e-05
5,100,2.4635344743728638e-05
5,120,2.168305218219757e-05
5,140,1.8922612071037292e-05
5,160,1.650489866733551e-05
5,180,3.6675482988357544e-05
5,200,6.508082151412964e-06
5,220,1.7639249563217163e-05
5,240,1.0833144187927246e-05
5,260,0.0
5,280,9.3802809715271e-06
5,300,8.910894393920898e-06
5,320,4.1835010051727295e-06
5,340,0.0003695618361234665
5,360,6.313808262348175e-05
5,380,0.00010094977915287018
5,400,2.1729618310928345e-05
5,420,3.0042603611946106e-05
5,440,1.03730708360672e-05
5,460,1.3560056686401367e-05
5,480,9.24617052078247e-06
6,20,1.7171725630760193e-05
6,40,0.0
6,60,1.3317912817001343e-06
6,80,4.3548643589019775e-06
6,100,3.4049153327941895e-06
6,120,1.3802200555801392e-06
6,140,2.2351741790771484e-06
6,160,1.862645149230957e-08
6,180,0.00018403306603431702
6,200,2.1945685148239136e-05
6,220,0.0
6,240,2.6648864150047302e-05
6,260,1.9123777747154236e-05
6,280,2.9439106583595276e-05
6,300,1.5618279576301575e-05
6,320,3.3117830753326416e-06
6,340,5.587935447692871e-09
6,360,7.424503564834595e-06
6,380,2.0973384380340576e-06
6,400,3.6992132663726807e-06
6,420,6.504356861114502e-06
6,440,5.759298801422119e-06
6,460,1.300126314163208e-06
6,480,1.1939555406570435e-06
