Epoch,Training Loss,Validation Loss
1,0.847155027083916,0.02002883303486477
2,0.0071330022138198215,0.0037584649133912433
3,0.0017002097691614143,0.0022984051133309136
4,0.0009408711721075513,0.0019240219605522518
5,0.0006797464181291596,0.002015806205487409
6,0.0005851091656150096,0.0017429459430121181
7,0.0005185834522591548,0.0017459710355520596
8,0.000465888685011625,0.001732665090502251
9,0.0004805556563803354,0.0017368736637179358
10,0.00049243707741904,0.0017785205350449589
11,0.0004558410432644102,0.0017577400649315678
