Epoch,Batch,Training Loss
1,20,0.0
1,40,7.927417755126953e-06
1,60,7.517635822296143e-06
1,80,5.358830094337463e-06
1,100,5.1353126764297485e-06
1,120,6.6086649894714355e-06
1,140,0.0
1,160,6.2212347984313965e-06
1,180,1.4808028936386108e-06
1,200,1.4249235391616821e-06
1,220,1.3746321201324463e-06
1,240,0.0
1,260,3.855675458908081e-06
1,280,2.4810433387756348e-06
1,300,4.820525646209717e-06
1,320,4.708766937255859e-06
1,340,0.0
1,360,2.2239983081817627e-06
1,380,4.32133674621582e-06
1,400,7.107853889465332e-06
1,420,0.0001628398895263672
1,440,0.00018972158432006836
1,460,5.2988529205322266e-05
1,480,3.30507755279541e-05
2,20,4.1037797927856445e-05
2,40,3.355741500854492e-05
2,60,2.9101967811584473e-05
2,80,1.9490718841552734e-05
2,100,1.1421740055084229e-05
2,120,1.0520219802856445e-05
2,140,1.4483928680419922e-05
2,160,2.1979212760925293e-05
2,180,1.993030309677124e-05
2,200,3.6731362342834473e-06
2,220,0.0
2,240,0.0
2,260,0.0
2,280,1.4360994100570679e-05
2,300,0.0
2,320,0.0
2,340,0.00012226402759552002
2,360,4.591047763824463e-05
2,380,2.3618340492248535e-05
2,400,0.0
2,420,8.538365364074707e-06
2,440,7.3909759521484375e-06
2,460,1.3329088687896729e-05
2,480,1.8171966075897217e-05
3,20,1.5847384929656982e-05
3,40,1.9311904907226562e-05
3,60,0.0
3,80,8.374452590942383e-06
3,100,0.0002887248992919922
3,120,0.00019562244415283203
3,140,3.0308961868286133e-05
3,160,3.993511199951172e-05
3,180,2.898275852203369e-05
3,200,1.1622905731201172e-05
3,220,1.977384090423584e-05
3,240,2.561509609222412e-05
3,260,1.516193151473999e-05
3,280,1.3567507266998291e-05
3,300,6.198883056640625e-06
3,320,1.695379614830017e-05
3,340,2.5816261768341064e-05
3,360,9.387731552124023e-06
3,380,1.301988959312439e-05
3,400,1.2058764696121216e-05
3,420,1.496821641921997e-05
3,440,3.5706907510757446e-06
3,460,6.750226020812988e-06
3,480,1.2718141078948975e-05
4,20,1.1578202247619629e-05
4,40,5.453824996948242e-06
4,60,2.600252628326416e-06
4,80,2.4847686290740967e-06
4,100,2.387911081314087e-06
4,120,6.800517439842224e-06
4,140,8.732080459594727e-06
4,160,1.0468065738677979e-05
4,180,0.00025010108947753906
4,200,0.00023496150970458984
4,220,0.00010970234870910645
4,240,8.368492126464844e-05
4,260,4.575401544570923e-05
4,280,4.988908767700195e-05
4,300,3.151595592498779e-05
4,320,1.8090009689331055e-05
4,340,1.582503318786621e-05
4,360,1.4267861843109131e-05
