Epoch,Batch,Training Loss
1,20,2.995635986328125
1,40,2.7408981323242188
1,60,2.3432695865631104
1,80,2.2839977741241455
1,100,2.13814640045166
1,120,2.1480748653411865
1,140,2.0420024394989014
1,160,2.3565595149993896
1,180,2.25820255279541
1,200,2.274604082107544
1,220,2.0727121829986572
1,240,2.238966464996338
1,260,2.123033285140991
1,280,2.2722785472869873
1,300,2.205887794494629
1,320,2.135707378387451
1,340,2.1429672241210938
1,360,2.284358501434326
1,380,2.1603357791900635
1,400,2.1908583641052246
1,420,2.1012179851531982
1,440,2.307638168334961
1,460,2.2666549682617188
1,480,2.148444890975952
2,20,2.075371503829956
2,40,2.132063865661621
2,60,2.124260663986206
2,80,2.1907639503479004
2,100,2.1275100708007812
2,120,2.030458927154541
2,140,2.0492210388183594
2,160,2.1268465518951416
2,180,1.9885921478271484
2,200,2.1427905559539795
2,220,2.0081543922424316
2,240,2.172994375228882
2,260,2.450437068939209
2,280,2.229769229888916
2,300,2.078389883041382
2,320,1.868768334388733
2,340,2.1761374473571777
2,360,2.1198439598083496
2,380,2.289828300476074
2,400,2.3495216369628906
2,420,1.952127456665039
2,440,1.9311060905456543
2,460,2.1225204467773438
2,480,2.140939474105835
3,20,2.177816390991211
3,40,1.89095938205719
3,60,2.081608772277832
3,80,2.3816070556640625
3,100,2.2261085510253906
3,120,2.293686628341675
3,140,2.075458526611328
3,160,2.287569284439087
3,180,2.3438942432403564
3,200,2.315758466720581
3,220,1.9016553163528442
3,240,2.2165565490722656
3,260,1.963989019393921
3,280,2.183643102645874
3,300,2.2576189041137695
3,320,2.172637939453125
3,340,2.0995211601257324
3,360,1.9579983949661255
3,380,2.273245334625244
3,400,2.256376028060913
3,420,2.1507678031921387
3,440,2.3018856048583984
3,460,2.131842613220215
3,480,2.2003679275512695
4,20,1.9883720874786377
4,40,2.3168506622314453
4,60,2.0658469200134277
4,80,1.9981539249420166
4,100,2.2859082221984863
4,120,2.154716968536377
4,140,2.036421537399292
4,160,1.9245624542236328
4,180,2.2275466918945312
4,200,2.258211612701416
4,220,2.191944122314453
4,240,2.268893003463745
4,260,2.2508697509765625
4,280,2.2287774085998535
4,300,2.043020486831665
4,320,2.0307698249816895
4,340,2.414158344268799
4,360,2.1611557006835938
4,380,2.242202043533325
4,400,2.4238836765289307
4,420,2.4026708602905273
4,440,2.07802414894104
4,460,2.1398766040802
4,480,2.065167188644409
5,20,2.014225721359253
5,40,2.2639236450195312
5,60,1.8772804737091064
5,80,2.1702158451080322
5,100,2.2151031494140625
5,120,2.2109196186065674
5,140,2.046280860900879
5,160,2.1245880126953125
5,180,2.306368350982666
5,200,2.3616514205932617
5,220,2.3000569343566895
5,240,2.296428680419922
5,260,2.38216233253479
5,280,2.107412815093994
5,300,2.168410301208496
5,320,2.1489639282226562
5,340,2.1433334350585938
5,360,2.2803192138671875
5,380,2.1097724437713623
5,400,2.1342315673828125
5,420,2.087226629257202
5,440,2.1880106925964355
5,460,1.9628043174743652
5,480,1.998100996017456
6,20,2.2331619262695312
6,40,1.9519078731536865
6,60,2.1685237884521484
6,80,2.0332493782043457
6,100,2.120814561843872
6,120,2.2620978355407715
6,140,2.284186363220215
6,160,2.2704925537109375
6,180,2.0342061519622803
6,200,2.1216773986816406
6,220,2.0558180809020996
6,240,2.2883448600769043
6,260,2.104503631591797
6,280,2.1087646484375
6,300,2.2039577960968018
6,320,2.346111297607422
6,340,2.1541059017181396
6,360,2.4087491035461426
6,380,2.0818285942077637
6,400,2.126586675643921
6,420,2.03238582611084
6,440,2.124720811843872
6,460,2.1783499717712402
6,480,2.2468321323394775
