Epoch,Training Loss,Validation Loss
1,0.03198979366450793,0.0018933925719525335
2,0.0017838771648891769,0.0004362620685610905
3,0.0010819242362778117,0.0014622058244673699
4,0.0007901972930354784,0.00011240460127937658
5,0.000863270912851216,0.00042311659897922106
6,0.0005737170534473216,0.0004181255420687607
7,0.00051488042417787,0.0002569801847700811
8,0.0003850230778944826,0.00015809849376511472
9,0.00039681270087999263,5.3782073474364926e-05
10,0.00039585383516643725,8.475831012964351e-05
11,0.0004445590394286939,9.478574959225366e-05
