Epoch,Batch,Training Loss
1,20,3.567901611328125
1,40,3.239044189453125
1,60,2.6337738037109375
1,80,2.0339126586914062
1,100,1.8303680419921875
1,120,1.2955293655395508
1,140,0.8935785293579102
1,160,0.6158103942871094
1,180,0.6142153739929199
1,200,0.5143824815750122
1,220,0.3667917251586914
1,240,0.3221883773803711
1,260,0.2561030387878418
1,280,0.19787001609802246
1,300,0.1200905442237854
1,320,0.05946359038352966
1,340,0.07787454128265381
1,360,0.08124226331710815
1,380,0.044362008571624756
1,400,0.031916290521621704
1,420,0.016150832176208496
1,440,0.018159881234169006
1,460,0.2179313451051712
1,480,0.01528167724609375
2,20,0.01304633915424347
2,40,0.01560869812965393
2,60,0.012219652533531189
2,80,0.012522716075181961
2,100,0.012583218514919281
2,120,0.007316261529922485
2,140,0.006037399172782898
2,160,0.014446958899497986
2,180,0.006223998963832855
2,200,0.008166084066033363
2,220,0.00811060518026352
2,240,0.006750144064426422
2,260,0.005807474255561829
2,280,0.0037114080041646957
2,300,0.004697512835264206
2,320,0.0032564885914325714
2,340,0.004119491204619408
2,360,0.004094719886779785
2,380,0.0032832175493240356
2,400,0.0064724162220954895
2,420,0.003899596631526947
2,440,0.00331687368452549
2,460,0.00373845174908638
2,480,0.002686884254217148
3,20,0.002891853451728821
3,40,0.0027098413556814194
3,60,0.005231216549873352
3,80,0.001757349818944931
3,100,0.0019867345690727234
3,120,0.0017684493213891983
3,140,0.0020370446145534515
3,160,0.002000153064727783
3,180,0.0022308267652988434
3,200,0.001509007066488266
3,220,0.0020247362554073334
3,240,0.0018415134400129318
3,260,0.0022225677967071533
3,280,0.0017077196389436722
3,300,0.002016402781009674
3,320,0.10939984023571014
3,340,0.0021960698068141937
3,360,0.001340394839644432
3,380,0.0014153961092233658
3,400,0.001147916540503502
3,420,0.0013370048254728317
3,440,0.000997636467218399
3,460,0.001179024577140808
3,480,0.0018359720706939697
4,20,0.001939292997121811
4,40,0.003601059317588806
4,60,0.001149715855717659
4,80,0.0010857246816158295
4,100,0.0014674905687570572
4,120,0.0008756481111049652
4,140,0.0009049400687217712
4,160,0.0009044520556926727
4,180,0.0006877314299345016
4,200,0.0008176397532224655
4,220,0.0007405262440443039
4,240,0.0009709689766168594
4,260,0.0005788728594779968
4,280,0.0005632173269987106
4,300,0.0008312854915857315
4,320,0.0012315567582845688
4,340,0.0007553324103355408
4,360,0.0007088314741849899
4,380,0.0005861781537532806
4,400,0.000658700242638588
4,420,0.0008194725960493088
4,440,0.0008611883968114853
4,460,0.0007665921002626419
4,480,0.0006977356970310211
5,20,0.0004596281796693802
5,40,0.0004671737551689148
5,60,0.0008590854704380035
5,80,0.0006985440850257874
5,100,0.0006424542516469955
5,120,0.0004347115755081177
5,140,0.0006520859897136688
5,160,0.0005920194089412689
5,180,0.0006407573819160461
5,200,0.0003967713564634323
5,220,0.11218587309122086
5,240,0.002624277025461197
5,260,0.0004598107188940048
5,280,0.0005791578441858292
5,300,0.00044860318303108215
5,320,0.0006250608712434769
5,340,0.0003430210053920746
5,360,0.0012078210711479187
5,380,0.0009128227829933167
5,400,0.0004985984414815903
5,420,0.00041548721492290497
5,440,0.0004450846463441849
5,460,0.00039794109761714935
5,480,0.00036600232124328613
6,20,0.002802900969982147
6,40,0.0003626924008131027
6,60,0.00029200129210948944
6,80,0.00026096776127815247
6,100,0.000502072274684906
6,120,0.0003062393516302109
6,140,0.0003188997507095337
6,160,0.0002705547958612442
6,180,0.0003097299486398697
6,200,0.00028361938893795013
6,220,0.00033476389944553375
6,240,0.05275345593690872
6,260,0.0025160908699035645
6,280,0.0003140438348054886
6,300,0.00031803175806999207
6,320,0.0002689901739358902
6,340,0.0002953726798295975
6,360,0.0008942130953073502
6,380,0.00027859583497047424
6,400,0.00022735446691513062
6,420,0.0003115776926279068
6,440,0.0002790279686450958
6,460,0.0003106016665697098
6,480,0.00020803138613700867
7,20,0.003414442762732506
7,40,0.00038525089621543884
7,60,0.00040796399116516113
7,80,0.0010344106703996658
7,100,0.00026969052851200104
7,120,0.00020120292901992798
7,140,0.00032955966889858246
7,160,0.00027960166335105896
7,180,0.0019617658108472824
7,200,0.0002130940556526184
7,220,0.0026306211948394775
7,240,0.00022768601775169373
7,260,0.00020612217485904694
7,280,0.002556687220931053
7,300,0.0001806393265724182
7,320,0.1496238112449646
7,340,0.00021512247622013092
7,360,0.00024360604584217072
7,380,0.00021275505423545837
7,400,0.0002031959593296051
7,420,0.00022896938025951385
7,440,0.000176282599568367
7,460,0.00014819949865341187
7,480,0.00012759864330291748
8,20,0.00016580894589424133
8,40,0.00016785413026809692
8,60,0.17961108684539795
8,80,0.00016651488840579987
8,100,0.0001882556825876236
8,120,0.0001379847526550293
8,140,0.00017243996262550354
8,160,0.005127964541316032
8,180,0.00020993687212467194
8,200,0.0001471899449825287
8,220,0.00023825466632843018
8,240,0.00016987323760986328
8,260,0.00020169652998447418
8,280,0.0001370646059513092
8,300,0.0001139175146818161
8,320,0.00013177841901779175
8,340,0.000583648681640625
8,360,0.00014998950064182281
8,380,0.0001940559595823288
8,400,0.00016156956553459167
8,420,0.0006557442247867584
8,440,0.00015134736895561218
8,460,0.0016137603670358658
8,480,0.00010253116488456726
9,20,0.00016912445425987244
9,40,0.000187605619430542
9,60,0.00031993165612220764
9,80,0.00019850023090839386
9,100,0.00017866119742393494
9,120,0.0002089235931634903
9,140,0.0005441214889287949
9,160,0.000222131609916687
9,180,0.0001933034509420395
9,200,0.00015641376376152039
9,220,0.00013937614858150482
9,240,0.00010878592729568481
9,260,0.00013669393956661224
9,280,0.00011367537081241608
9,300,8.987076580524445e-05
9,320,0.0001860596239566803
9,340,0.0002052411437034607
9,360,0.008306935429573059
9,380,0.00027476996183395386
9,400,0.17494085431098938
9,420,0.00022085383534431458
9,440,0.00012064538896083832
9,460,0.00017543509602546692
9,480,0.00010770931839942932
10,20,0.0013959705829620361
10,40,0.0004397444427013397
10,60,0.004875803366303444
10,80,0.00023348815739154816
10,100,0.00022206082940101624
10,120,0.00012133829295635223
10,140,0.00014860928058624268
10,160,0.0008630082011222839
10,180,0.0024545881897211075
10,200,0.00012792833149433136
10,220,0.00016171857714653015
10,240,0.00016960129141807556
10,260,0.00013256072998046875
10,280,0.0001907404512166977
10,300,0.0005284622311592102
10,320,0.00018830038607120514
10,340,0.0001331586390733719
10,360,0.0001291763037443161
10,380,0.00011728890240192413
10,400,8.918903768062592e-05
10,420,7.35502690076828e-05
10,440,8.080340921878815e-05
10,460,8.175894618034363e-05
10,480,9.872019290924072e-05
11,20,7.428601384162903e-05
11,40,9.14987176656723e-05
11,60,6.94766640663147e-05
11,80,0.00012650899589061737
11,100,0.0027885399758815765
11,120,9.943544864654541e-05
11,140,9.364448487758636e-05
11,160,0.00013850443065166473
11,180,6.79362565279007e-05
11,200,0.00023622624576091766
11,220,0.00013549812138080597
11,240,9.715743362903595e-05
11,260,0.00013511069118976593
11,280,0.0001296643167734146
11,300,0.0008552074432373047
11,320,0.00015419721603393555
11,340,0.003924109041690826
11,360,0.0006732381880283356
11,380,0.00011307373642921448
11,400,0.00016079656779766083
11,420,0.00016663037240505219
11,440,0.0001216009259223938
11,460,9.887292981147766e-05
11,480,9.785592555999756e-05
12,20,6.28400593996048e-05
12,40,8.395500481128693e-05
12,60,5.864724516868591e-05
12,80,7.562339305877686e-05
12,100,7.487833499908447e-05
12,120,6.217323243618011e-05
12,140,7.266737520694733e-05
12,160,0.0001876968890428543
12,180,0.00010184012353420258
12,200,8.623488247394562e-05
12,220,8.430704474449158e-05
12,240,8.498691022396088e-05
12,260,0.0002968478947877884
12,280,0.0001239050179719925
12,300,0.00011948682367801666
12,320,0.0001110415905714035
12,340,0.0011998210102319717
12,360,7.134303450584412e-05
12,380,6.778165698051453e-05
12,400,6.111711263656616e-05
12,420,0.00015845336019992828
12,440,0.00023929215967655182
12,460,0.00016242451965808868
12,480,0.00020444020628929138
13,20,0.0001371130347251892
13,40,9.882263839244843e-05
13,60,7.601641118526459e-05
13,80,8.062832057476044e-05
13,100,7.319264113903046e-05
13,120,0.0002929866313934326
13,140,5.073472857475281e-05
13,160,8.802860975265503e-05
13,180,4.58545982837677e-05
13,200,8.621066808700562e-05
13,220,5.990080535411835e-05
13,240,6.357580423355103e-05
13,260,5.444325506687164e-05
13,280,6.118044257164001e-05
13,300,0.00015797652304172516
13,320,6.737746298313141e-05
13,340,7.918477058410645e-05
13,360,7.23171979188919e-05
13,380,5.7037919759750366e-05
13,400,0.00014837272465229034
13,420,0.00014098547399044037
13,440,0.00024949945509433746
13,460,0.00010013394057750702
13,480,0.00010986253619194031
14,20,0.00012840330600738525
14,40,0.0004310235381126404
14,60,5.9954822063446045e-05
14,80,6.077997386455536e-05
14,100,6.984546780586243e-05
14,120,7.305294275283813e-05
14,140,0.00017080456018447876
14,160,7.087364792823792e-05
14,180,5.9898942708969116e-05
14,200,0.0001302417367696762
14,220,8.642300963401794e-05
14,240,5.186349153518677e-05
14,260,6.923079490661621e-05
14,280,5.2150338888168335e-05
14,300,4.861876368522644e-05
14,320,7.410533726215363e-05
14,340,5.578063428401947e-05
14,360,0.0018662847578525543
14,380,3.780052065849304e-05
14,400,6.413459777832031e-05
14,420,0.00014537200331687927
14,440,0.0004337504506111145
14,460,8.367188274860382e-05
14,480,7.114559412002563e-05
15,20,0.00013595446944236755
15,40,0.0016266684979200363
15,60,0.00016597658395767212
15,80,8.286908268928528e-05
15,100,7.81230628490448e-05
15,120,0.00010426156222820282
15,140,6.625615060329437e-05
15,160,6.229057908058167e-05
15,180,5.440041422843933e-05
15,200,5.1954761147499084e-05
15,220,6.349198520183563e-05
15,240,4.893168807029724e-05
15,260,4.7946348786354065e-05
15,280,3.965012729167938e-05
15,300,6.638653576374054e-05
