precision,recall,f1-score,support,epoch
1.0,1.0,1.0,5916.0,1
1.0,1.0,1.0,378.0,1
1.0,1.0,1.0,1128.0,1
1.0,1.0,1.0,420.0,1
1.0,1.0,1.0,576.0,1
1.0,1.0,1.0,5688.0,1
1.0,1.0,1.0,5040.0,1
1.0,1.0,1.0,2226.0,1
1.0,1.0,1.0,420.0,1
1.0,1.0,1.0,156.0,1
1.0,1.0,1.0,2640.0,1
0.993006993006993,0.9964912280701754,0.9947460595446584,570.0,1
1.0,0.9907407407407407,0.9953488372093023,324.0,1
0.9715536105032823,1.0,0.9855715871254163,444.0,1
0.9933184855233853,0.9911111111111112,0.9922135706340378,450.0,1
0.9929577464788732,1.0,0.9964664310954063,282.0,1
0.9801980198019802,1.0,0.99,396.0,1
1.0,0.9714912280701754,0.985539488320356,456.0,1
1.0,1.0,1.0,894.0,1
1.0,1.0,1.0,534.0,1
1.0,1.0,1.0,156.0,1
1.0,1.0,1.0,156.0,1
0.989010989010989,1.0,0.994475138121547,90.0,1
1.0,1.0,1.0,108.0,1
1.0,1.0,1.0,156.0,1
0.9966777408637874,1.0,0.9983361064891847,300.0,1
1.0,1.0,1.0,240.0,1
1.0,1.0,1.0,120.0,1
1.0,0.9814814814814815,0.9906542056074766,54.0,1
1.0,0.9814814814814815,0.9906542056074766,54.0,1
1.0,1.0,1.0,78.0,1
1.0,1.0,1.0,228.0,1
0.9924812030075187,1.0,0.9962264150943396,264.0,1
1.0,1.0,1.0,222.0,1
1.0,1.0,1.0,42.0,1
1.0,0.9861111111111112,0.993006993006993,72.0,1
0.9850746268656716,1.0,0.9924812030075187,66.0,1
1.0,1.0,1.0,216.0,1
1.0,1.0,1.0,126.0,1
1.0,1.0,1.0,360.0,1
1.0,1.0,1.0,414.0,1
1.0,1.0,1.0,60.0,1
1.0,1.0,1.0,72.0,1
0.9989264462302926,0.99923294059892,0.9990796699082738,32592.0,1
0.997541381745639,0.9976490321410761,0.9975748893224119,32592.0,1
0.998944338553904,0.99923294059892,0.9990806330992718,32592.0,1
0.9991601996575218,0.9993645328572642,0.9992340213839832,32592.0,1
1.0,1.0,1.0,5916.0,2
1.0,1.0,1.0,378.0,2
1.0,1.0,1.0,1128.0,2
1.0,1.0,1.0,420.0,2
1.0,1.0,1.0,576.0,2
1.0,1.0,1.0,5688.0,2
1.0,1.0,1.0,5040.0,2
1.0,1.0,1.0,2226.0,2
1.0,1.0,1.0,420.0,2
1.0,1.0,1.0,156.0,2
1.0,1.0,1.0,2640.0,2
0.9982486865148862,1.0,0.9991235758106923,570.0,2
1.0,1.0,1.0,324.0,2
1.0,1.0,1.0,444.0,2
0.9955654101995566,0.9977777777777778,0.9966703662597114,450.0,2
1.0,1.0,1.0,282.0,2
1.0,1.0,1.0,396.0,2
0.9978070175438597,0.9978070175438597,0.9978070175438597,456.0,2
1.0,1.0,1.0,894.0,2
1.0,1.0,1.0,534.0,2
1.0,1.0,1.0,156.0,2
1.0,1.0,1.0,156.0,2
1.0,1.0,1.0,90.0,2
1.0,1.0,1.0,108.0,2
1.0,1.0,1.0,156.0,2
1.0,0.9966666666666667,0.998330550918197,300.0,2
1.0,1.0,1.0,240.0,2
1.0,1.0,1.0,120.0,2
1.0,1.0,1.0,54.0,2
0.9818181818181818,1.0,0.9908256880733946,54.0,2
1.0,1.0,1.0,78.0,2
1.0,1.0,1.0,228.0,2
1.0,1.0,1.0,264.0,2
1.0,1.0,1.0,222.0,2
1.0,1.0,1.0,42.0,2
1.0,1.0,1.0,72.0,2
1.0,1.0,1.0,66.0,2
1.0,1.0,1.0,216.0,2
1.0,1.0,1.0,126.0,2
1.0,1.0,1.0,360.0,2
1.0,1.0,1.0,414.0,2
1.0,1.0,1.0,60.0,2
1.0,1.0,1.0,72.0,2
0.9998465975332883,0.9999079528718704,0.9998772742613444,32592.0,2
0.9993823092110811,0.9998198014415884,0.9995990046187407,32592.0,2
0.9998473357793773,0.9999079528718704,0.9998774501552647,32592.0,2
0.999878857434328,0.9999171129813823,0.9998936701882379,32592.0,2
1.0,1.0,1.0,5916.0,3
1.0,1.0,1.0,378.0,3
1.0,1.0,1.0,1128.0,3
1.0,1.0,1.0,420.0,3
1.0,1.0,1.0,576.0,3
1.0,1.0,1.0,5688.0,3
1.0,1.0,1.0,5040.0,3
1.0,0.9986522911051213,0.9993256911665542,2226.0,3
1.0,1.0,1.0,420.0,3
1.0,1.0,1.0,156.0,3
1.0,1.0,1.0,2640.0,3
0.9982486865148862,1.0,0.9991235758106923,570.0,3
0.9938650306748467,1.0,0.9969230769230769,324.0,3
0.9977324263038548,0.990990990990991,0.9943502824858758,444.0,3
0.989010989010989,1.0,0.994475138121547,450.0,3
1.0,1.0,1.0,282.0,3
1.0,0.9974747474747475,0.9987357774968394,396.0,3
1.0,0.9978070175438597,0.9989023051591658,456.0,3
1.0,1.0,1.0,894.0,3
1.0,1.0,1.0,534.0,3
1.0,1.0,1.0,156.0,3
1.0,1.0,1.0,156.0,3
1.0,1.0,1.0,90.0,3
1.0,1.0,1.0,108.0,3
1.0,1.0,1.0,156.0,3
1.0,0.9966666666666667,0.998330550918197,300.0,3
1.0,1.0,1.0,240.0,3
1.0,1.0,1.0,120.0,3
1.0,1.0,1.0,54.0,3
1.0,1.0,1.0,54.0,3
1.0,1.0,1.0,78.0,3
1.0,1.0,1.0,228.0,3
0.9962264150943396,1.0,0.998109640831758,264.0,3
1.0,1.0,1.0,222.0,3
1.0,1.0,1.0,42.0,3
1.0,1.0,1.0,72.0,3
1.0,1.0,1.0,66.0,3
1.0,1.0,1.0,216.0,3
1.0,1.0,1.0,126.0,3
1.0,1.0,1.0,360.0,3
1.0,1.0,1.0,414.0,3
1.0,1.0,1.0,60.0,3
1.0,1.0,1.0,72.0,3
0.999693176239568,0.999693176239568,0.999693176239568,32592.0,3
0.9994205476185793,0.9995719003204973,0.9994947916026443,32592.0,3
0.9996951993486407,0.999693176239568,0.9996933839821649,32592.0,3
0.9997619654849953,0.9997194593216016,0.9997274821299306,32592.0,3
1.0,1.0,1.0,5916.0,4
1.0,1.0,1.0,378.0,4
1.0,1.0,1.0,1128.0,4
1.0,1.0,1.0,420.0,4
1.0,1.0,1.0,576.0,4
1.0,1.0,1.0,5688.0,4
1.0,1.0,1.0,5040.0,4
1.0,1.0,1.0,2226.0,4
1.0,1.0,1.0,420.0,4
1.0,1.0,1.0,156.0,4
0.998109640831758,1.0,0.9990539262062441,2640.0,4
1.0,0.9964912280701754,0.9982425307557118,570.0,4
1.0,0.9320987654320988,0.9648562300319489,324.0,4
1.0,0.9932432432432432,0.9966101694915255,444.0,4
0.9977777777777778,0.9977777777777778,0.9977777777777778,450.0,4
0.9964664310954063,1.0,0.9982300884955753,282.0,4
0.9826302729528535,1.0,0.9912390488110138,396.0,4
1.0,1.0,1.0,456.0,4
1.0,1.0,1.0,894.0,4
1.0,1.0,1.0,534.0,4
1.0,1.0,1.0,156.0,4
1.0,1.0,1.0,156.0,4
1.0,0.9888888888888889,0.994413407821229,90.0,4
1.0,0.9907407407407407,0.9953488372093023,108.0,4
0.9936305732484076,1.0,0.9968051118210862,156.0,4
1.0,0.9966666666666667,0.998330550918197,300.0,4
1.0,1.0,1.0,240.0,4
1.0,1.0,1.0,120.0,4
1.0,1.0,1.0,54.0,4
1.0,1.0,1.0,54.0,4
1.0,1.0,1.0,78.0,4
1.0,1.0,1.0,228.0,4
0.9962264150943396,1.0,0.998109640831758,264.0,4
1.0,1.0,1.0,222.0,4
1.0,1.0,1.0,42.0,4
0.9863013698630136,1.0,0.993103448275862,72.0,4
1.0,1.0,1.0,66.0,4
1.0,1.0,1.0,216.0,4
1.0,1.0,1.0,126.0,4
1.0,1.0,1.0,360.0,4
1.0,1.0,1.0,414.0,4
1.0,1.0,1.0,60.0,4
1.0,1.0,1.0,72.0,4
0.9994781754558291,0.9990488463426608,0.99926346478441,32592.0,4
0.9988637786247337,0.9975792397865021,0.9981888550801681,32592.0,4
0.9994832601588078,0.9990488463426608,0.9992525934917235,32592.0,4
0.9995451840516875,0.9992008841281986,0.9993134150555726,32592.0,4
1.0,1.0,1.0,5916.0,5
1.0,1.0,1.0,378.0,5
1.0,1.0,1.0,1128.0,5
1.0,1.0,1.0,420.0,5
1.0,1.0,1.0,576.0,5
1.0,1.0,1.0,5688.0,5
1.0,1.0,1.0,5040.0,5
1.0,1.0,1.0,2226.0,5
1.0,1.0,1.0,420.0,5
1.0,1.0,1.0,156.0,5
1.0,1.0,1.0,2640.0,5
1.0,0.9982456140350877,0.9991220368744512,570.0,5
1.0,1.0,1.0,324.0,5
1.0,1.0,1.0,444.0,5
0.9977827050997783,1.0,0.9988901220865705,450.0,5
0.9964664310954063,1.0,0.9982300884955753,282.0,5
1.0,0.9974747474747475,0.9987357774968394,396.0,5
1.0,1.0,1.0,456.0,5
1.0,1.0,1.0,894.0,5
1.0,1.0,1.0,534.0,5
1.0,1.0,1.0,156.0,5
1.0,0.9807692307692307,0.9902912621359223,156.0,5
1.0,1.0,1.0,90.0,5
1.0,1.0,1.0,108.0,5
1.0,1.0,1.0,156.0,5
1.0,1.0,1.0,300.0,5
1.0,1.0,1.0,240.0,5
1.0,1.0,1.0,120.0,5
1.0,0.9814814814814815,0.9906542056074766,54.0,5
1.0,1.0,1.0,54.0,5
1.0,1.0,1.0,78.0,5
1.0,1.0,1.0,228.0,5
1.0,1.0,1.0,264.0,5
1.0,1.0,1.0,222.0,5
0.9767441860465116,1.0,0.9882352941176471,42.0,5
1.0,1.0,1.0,72.0,5
1.0,1.0,1.0,66.0,5
1.0,1.0,1.0,216.0,5
1.0,1.0,1.0,126.0,5
0.997229916897507,1.0,0.9986130374479889,360.0,5
1.0,1.0,1.0,414.0,5
1.0,1.0,1.0,60.0,5
1.0,1.0,1.0,72.0,5
0.9998772629640994,0.9998159057437408,0.9998465834125986,32592.0,5
0.9992610055613769,0.9990225831107103,0.9991342284712204,32592.0,5
0.9998782454823534,0.9998159057437408,0.9998462109914127,32592.0,5
0.9998894839751764,0.9998214741137466,0.9998439876595959,32592.0,5
0.9947872877080881,1.0,0.9973868330101998,5916.0,6
1.0,1.0,1.0,378.0,6
1.0,1.0,1.0,1128.0,6
1.0,1.0,1.0,420.0,6
1.0,1.0,1.0,576.0,6
0.9918047079337402,1.0,0.995885494178412,5688.0,6
1.0,1.0,1.0,5040.0,6
1.0,1.0,1.0,2226.0,6
1.0,1.0,1.0,420.0,6
1.0,1.0,1.0,156.0,6
1.0,1.0,1.0,2640.0,6
0.9982394366197183,0.9947368421052631,0.9964850615114236,570.0,6
0.9968553459119497,0.9783950617283951,0.9875389408099688,324.0,6
1.0,0.9977477477477478,0.9988726042841037,444.0,6
0.9955456570155902,0.9933333333333333,0.9944382647385984,450.0,6
1.0,0.9964539007092199,0.9982238010657194,282.0,6
1.0,0.9974747474747475,0.9987357774968394,396.0,6
0.9827213822894169,0.9978070175438597,0.9902067464635473,456.0,6
0.9988826815642458,1.0,0.9994410285075461,894.0,6
1.0,1.0,1.0,534.0,6
1.0,1.0,1.0,156.0,6
1.0,1.0,1.0,156.0,6
1.0,1.0,1.0,90.0,6
1.0,0.9907407407407407,0.9953488372093023,108.0,6
1.0,1.0,1.0,156.0,6
1.0,1.0,1.0,300.0,6
1.0,1.0,1.0,240.0,6
1.0,1.0,1.0,120.0,6
0.9818181818181818,1.0,0.9908256880733946,54.0,6
1.0,0.9814814814814815,0.9906542056074766,54.0,6
1.0,1.0,1.0,78.0,6
1.0,0.8640350877192983,0.9270588235294117,228.0,6
1.0,1.0,1.0,264.0,6
1.0,1.0,1.0,222.0,6
