Epoch,Training Loss,Validation Loss
1,0.0003550673309569446,0.01201196826392244
2,0.0003019944478258824,0.011389245508510842
3,0.00034583076576715573,0.014625761657953262
4,0.00045592914090744103,0.011158813399520372
5,0.0003939926562548777,0.011270733087871847
6,0.00035656321330978526,0.010556165448740447
7,0.0004070628719482315,0.012350932888718889
8,0.00042114791871938103,0.007786413003516391
9,0.00039983912164349175,0.008710691947641411
10,0.00033248688972530445,0.008444788131287427
11,0.0003295616491445456,0.008840345542847626
