Epoch,Training Loss,Validation Loss
1,0.0003564253889494661,0.02001150406360422
2,0.0002908238803478462,0.017887990240280222
3,0.00043161444426675433,0.018803876636271095
4,0.00030745359629189885,0.018658031822177353
5,0.00045202992659236653,0.020577909924635072
6,0.0003333813815803007,0.02092152935844892
7,0.007658803099557727,0.015100648641828598
8,0.0010738271286676955,0.013775782094003299
9,0.00030658777466043474,0.01350535500824936
10,0.0003259189373788911,0.01388604678872869
11,0.00032181735482453814,0.013718890101929022
