Epoch,Batch,Training Loss
1,20,0.0
1,40,1.1175870895385742e-08
1,60,1.1175870895385742e-08
1,80,7.450580596923828e-09
1,100,3.725290298461914e-09
1,120,7.450580596923828e-09
1,140,5.587935447692871e-09
1,160,3.725290298461914e-09
1,180,1.862645149230957e-09
1,200,1.862645149230957e-09
1,220,7.450580596923828e-09
1,240,1.1175870895385742e-08
1,260,1.862645149230957e-09
1,280,5.587935447692871e-09
1,300,3.725290298461914e-09
1,320,0.0449892058968544
1,340,1.0312511920928955
1,360,1.9855797290802e-06
1,380,1.0691583156585693e-06
1,400,5.4016709327697754e-08
1,420,1.862645149230957e-08
1,440,0.0
1,460,3.725290298461914e-09
1,480,5.587935447692871e-09
2,20,5.587935447692871e-09
2,40,3.725290298461914e-09
2,60,7.450580596923828e-09
2,80,9.313225746154785e-09
2,100,1.862645149230957e-09
2,120,3.725290298461914e-09
2,140,9.102746844291687e-06
2,160,9.340047836303711e-05
2,180,3.725290298461914e-09
2,200,1.9252300262451172e-05
2,220,3.9674341678619385e-05
2,240,4.842877388000488e-06
2,260,1.204758882522583e-05
2,280,2.4043023586273193e-05
2,300,1.5152618288993835e-05
2,320,0.0
2,340,2.512708306312561e-06
2,360,4.5709311962127686e-06
2,380,4.168599843978882e-06
2,400,3.91155481338501e-06
2,420,1.7266720533370972e-06
2,440,4.861503839492798e-06
2,460,7.618218660354614e-06
2,480,2.86102294921875e-06
3,20,2.689659595489502e-06
3,40,2.4512410163879395e-06
3,60,1.1883676052093506e-06
3,80,0.0033359527587890625
3,100,2.68593430519104e-06
3,120,3.3080577850341797e-06
3,140,1.4640390872955322e-06
3,160,0.0
3,180,4.5821070671081543e-07
3,200,0.0
3,220,1.3299286365509033e-06
3,240,4.284083843231201e-07
3,260,8.568167686462402e-07
3,280,1.7136335372924805e-06
3,300,4.284083843231201e-07
3,320,8.270144462585449e-07
3,340,1.2405216693878174e-06
3,360,7.82310962677002e-07
3,380,7.82310962677002e-07
3,400,1.1622905731201172e-06
3,420,7.748603820800781e-07
3,440,1.12876296043396e-06
3,460,7.525086402893066e-07
3,480,1.8253922462463379e-06
4,20,1.4528632164001465e-06
4,40,1.816079020500183e-06
4,60,1.4156103134155273e-06
4,80,6.854534149169922e-07
4,100,6.854534149169922e-07
4,120,3.427267074584961e-07
4,140,0.0
4,160,3.203749656677246e-07
4,180,9.890645742416382e-07
4,200,9.611248970031738e-07
4,220,6.407499313354492e-07
4,240,1.5553086996078491e-06
4,260,1.866370439529419e-06
4,280,9.331852197647095e-07
4,300,8.996576070785522e-07
4,320,2.998858690261841e-07
4,340,8.717179298400879e-07
4,360,0.002056121826171875
4,380,2.6553869247436523e-05
4,400,3.2745301723480225e-06
4,420,2.551823854446411e-06
4,440,4.503875970840454e-06
4,460,6.537884473800659e-06
4,480,4.0940940380096436e-06
5,20,1.8049031496047974e-06
5,40,1.695007085800171e-06
5,60,1.642853021621704e-06
5,80,4.626810550689697e-06
5,100,5.97536563873291e-06
5,120,0.0
5,140,3.8333237171173096e-06
5,160,2.473592758178711e-06
5,180,4.649162292480469e-06
5,200,5.811452865600586e-06
5,220,3.2689422369003296e-06
5,240,2.0489096641540527e-06
5,260,1.9855797290802e-06
5,280,0.000732421875
5,300,6.160140037536621e-05
5,320,1.4454126358032227e-05
5,340,5.286186933517456e-06
5,360,2.332031726837158e-06
5,380,8.754432201385498e-06
5,400,0.0
5,420,0.0
5,440,3.6172568798065186e-06
5,460,8.763745427131653e-06
5,480,3.293156623840332e-06
6,20,4.492700099945068e-06
6,40,8.706003427505493e-06
6,60,4.084780812263489e-06
6,80,1.2777745723724365e-06
6,100,2.477318048477173e-06
6,120,5.997717380523682e-06
6,140,0.0
6,160,0.0
6,180,1.0915100574493408e-06
6,200,3.073364496231079e-06
6,220,6.7409127950668335e-06
6,240,0.0
6,260,0.0
6,280,8.754432201385498e-07
6,300,8.493661880493164e-07
6,320,7.102265954017639e-06
6,340,0.00012946128845214844
6,360,1.1622905731201172e-05
6,380,9.275972843170166e-06
6,400,0.0
6,420,4.643574357032776e-06
6,440,1.473352313041687e-06
6,460,4.274770617485046e-06
6,480,1.3783574104309082e-06
7,20,3.693625330924988e-06
7,40,3.676861524581909e-06
7,60,4.537403583526611e-06
7,80,3.335997462272644e-06
7,100,1.0635703802108765e-06
7,120,3.0901283025741577e-06
7,140,9.797513484954834e-07
7,160,1.959502696990967e-06
7,180,3.7401914596557617e-06
7,200,3.6135315895080566e-06
7,220,0.0
7,240,0.0
7,260,8.326023817062378e-07
7,280,2.464279532432556e-06
7,300,0.0
7,320,2.9802322387695312e-06
7,340,7.450580596923828e-07
7,360,7.208436727523804e-07
7,380,7.096678018569946e-07
7,400,2.7492642402648926e-06
7,420,6.668269634246826e-07
7,440,2.5853514671325684e-06
7,460,0.00019646994769573212
7,480,7.317960262298584e-05
8,20,8.694827556610107e-06
8,40,1.4163553714752197e-05
8,60,5.770474672317505e-06
8,80,5.0067901611328125e-06
8,100,2.173706889152527e-06
8,120,5.83939254283905e-06
8,140,5.068257451057434e-06
8,160,4.542991518974304e-06
8,180,4.0065497159957886e-06
8,200,2.391636371612549e-06
8,220,1.0542571544647217e-06
8,240,4.880130290985107e-06
8,260,2.6654452085494995e-06
8,280,0.0
8,300,1.4491379261016846e-06
8,320,6.705522537231445e-07
8,340,1.2405216693878174e-06
8,360,1.7210841178894043e-06
8,380,5.383044481277466e-07
8,400,1.4919787645339966e-06
8,420,0.001200677827000618
8,440,1.8358230590820312e-05
8,460,7.078051567077637e-06
8,480,0.0
9,20,7.1749091148376465e-06
9,40,0.0
