Epoch,Batch,Training Loss
1,20,3.635284423828125
1,40,3.194549560546875
1,60,2.9589996337890625
1,80,2.1242332458496094
1,100,1.9084806442260742
1,120,1.7910995483398438
1,140,1.849353313446045
1,160,1.7207822799682617
1,180,1.7438178062438965
1,200,1.7292218208312988
1,220,1.5832968950271606
1,240,1.6247109174728394
1,260,1.778965711593628
1,280,1.7032153606414795
1,300,1.531341552734375
1,320,1.4889967441558838
1,340,1.5646555423736572
1,360,1.7441837787628174
1,380,1.6540077924728394
1,400,1.6114352941513062
1,420,1.3310277462005615
1,440,1.675445318222046
1,460,1.8132699728012085
1,480,1.5623302459716797
2,20,1.5887020826339722
2,40,1.7044949531555176
2,60,1.6258783340454102
2,80,1.2489008903503418
2,100,1.4444414377212524
2,120,1.5528903007507324
2,140,1.5501160621643066
2,160,1.4413001537322998
2,180,1.53605318069458
2,200,1.7955303192138672
2,220,1.7927491664886475
2,240,1.5496000051498413
2,260,1.4114165306091309
2,280,1.7410601377487183
2,300,1.4266170263290405
2,320,1.606424331665039
2,340,1.6231056451797485
2,360,1.555936574935913
2,380,1.66714346408844
2,400,1.6654551029205322
2,420,1.427800178527832
2,440,1.5873384475708008
2,460,1.484736442565918
2,480,1.6063528060913086
3,20,1.5213372707366943
3,40,1.4335721731185913
3,60,1.43279230594635
3,80,1.569897174835205
3,100,1.5369428396224976
3,120,1.8346805572509766
3,140,1.4177048206329346
3,160,1.4988741874694824
3,180,1.3484811782836914
3,200,1.4837771654129028
3,220,1.63873291015625
3,240,1.6162092685699463
3,260,1.2154048681259155
3,280,1.6479880809783936
3,300,1.6639409065246582
3,320,1.4122045040130615
3,340,1.500698208808899
3,360,1.3253504037857056
3,380,1.491692304611206
3,400,1.4866464138031006
3,420,1.6935935020446777
3,440,1.4373327493667603
3,460,1.3043835163116455
3,480,1.6274454593658447
4,20,1.5981069803237915
4,40,1.4071764945983887
4,60,1.4229862689971924
4,80,1.5485405921936035
4,100,1.7566211223602295
4,120,1.3525935411453247
4,140,1.43704092502594
4,160,1.354260802268982
4,180,1.863545298576355
4,200,1.7825233936309814
4,220,1.3686792850494385
4,240,1.5229737758636475
4,260,1.4887053966522217
4,280,1.5532963275909424
4,300,1.7053420543670654
4,320,1.4541959762573242
4,340,1.4391453266143799
4,360,1.5263104438781738
4,380,1.695365071296692
4,400,1.5546679496765137
4,420,1.379828929901123
4,440,1.5134084224700928
4,460,1.3432430028915405
4,480,1.536184310913086
5,20,1.927445411682129
5,40,1.440110683441162
5,60,1.688985824584961
5,80,1.534824252128601
5,100,1.6950881481170654
5,120,1.4991238117218018
5,140,1.8480238914489746
5,160,1.6373780965805054
5,180,1.814602017402649
5,200,1.5437830686569214
5,220,1.47910737991333
5,240,1.4500315189361572
5,260,1.5074998140335083
5,280,1.517876386642456
5,300,1.460910677909851
5,320,1.5113390684127808
5,340,1.3310856819152832
5,360,1.8232344388961792
5,380,1.6110894680023193
5,400,1.5174312591552734
5,420,1.4879484176635742
5,440,1.4609432220458984
5,460,1.392246961593628
5,480,1.4161646366119385
6,20,1.6365535259246826
6,40,1.5177154541015625
6,60,1.782141923904419
6,80,1.5540659427642822
6,100,1.4510971307754517
6,120,1.5054776668548584
6,140,1.4924802780151367
6,160,1.694420576095581
6,180,1.4471659660339355
6,200,1.655132532119751
6,220,1.5606112480163574
6,240,1.4013338088989258
6,260,1.524366855621338
6,280,1.447089672088623
6,300,1.5179939270019531
6,320,1.3064963817596436
6,340,1.5867691040039062
6,360,1.666965126991272
6,380,1.444451093673706
6,400,1.3717972040176392
6,420,1.6526803970336914
6,440,1.2936004400253296
6,460,1.573194146156311
6,480,1.407280445098877
