Epoch,Batch,Training Loss
1,100,0.11872296035289764
1,200,0.08098028600215912
1,300,0.07616517692804337
1,400,0.03995757922530174
2,100,0.024065643548965454
2,200,0.010994079522788525
2,300,0.012947490438818932
2,400,0.011232703924179077
3,100,0.004994685761630535
3,200,0.004919042345136404
3,300,0.0036698298063129187
3,400,0.002459261566400528
4,100,0.0023241592571139336
4,200,0.0019163117976859212
4,300,0.002694962080568075
4,400,0.0017267920775339007
5,100,0.0035161636769771576
5,200,0.004027451388537884
5,300,0.0012557588052004576
5,400,0.0011878431541845202
6,100,0.0007869519176892936
6,200,0.0007578535005450249
6,300,0.0010705320164561272
6,400,0.0009578168392181396
7,100,0.000730255211237818
7,200,0.0004943289095535874
7,300,0.0005292884889058769
7,400,0.002785628894343972
8,100,0.0006457178387790918
8,200,0.00036954114330001175
8,300,0.0003853058733511716
8,400,0.0003337357484269887
9,100,0.0008508607861585915
9,200,0.00023509674065280706
9,300,0.0003649158461485058
9,400,0.00025397539138793945
10,100,0.00026430419529788196
10,200,0.00028088095132261515
10,300,0.00019192686886526644
10,400,0.0003555554721970111
11,100,0.0011908068554475904
11,200,0.0033131716772913933
11,300,0.0005153373349457979
11,400,0.0002904473803937435
12,100,0.0007805650238879025
12,200,0.00026818664628081024
12,300,0.00030699241324327886
12,400,0.0001992064353544265
13,100,0.00027496321126818657
13,200,0.005844323430210352
13,300,0.020733505487442017
13,400,0.00035627218312583864
14,100,0.0001890310668386519
14,200,8.796168549451977e-05
14,300,0.00010168151493417099
14,400,0.0024106809869408607
15,100,0.0005415952764451504
15,200,0.00010802548058563843
15,300,6.248017598409206e-05
15,400,9.999171015806496e-05
