Epoch,Batch,Training Loss
1,20,3.56011962890625
1,40,3.178009033203125
1,60,2.6272735595703125
1,80,2.248950958251953
1,100,1.558258056640625
1,120,1.2221336364746094
2,20,0.8604335784912109
2,40,0.7288715839385986
2,60,0.7122538089752197
2,80,0.4777340888977051
2,100,0.35080254077911377
2,120,0.20086181163787842
3,20,0.13549011945724487
3,40,0.11292135715484619
3,60,0.0882406234741211
3,80,0.08559906482696533
3,100,0.0600818395614624
3,120,0.03979456424713135
4,20,0.05044436454772949
4,40,0.03387182950973511
4,60,0.034397512674331665
4,80,0.02890855073928833
4,100,0.019862592220306396
4,120,0.01662316918373108
5,20,0.009966731071472168
5,40,0.017387449741363525
5,60,0.012853056192398071
5,80,0.010658666491508484
5,100,0.01427103579044342
5,120,0.007802620530128479
6,20,0.0070539116859436035
6,40,0.009558156132698059
6,60,0.006864234805107117
6,80,0.006773233413696289
6,100,0.006290212273597717
6,120,0.006886623799800873
7,20,0.0065201520919799805
7,40,0.004677511751651764
7,60,0.004146948456764221
7,80,0.00463220477104187
7,100,0.0058908164501190186
7,120,0.0044218674302101135
8,20,0.00382927805185318
8,40,0.003799125552177429
8,60,0.004410155117511749
8,80,0.0035417377948760986
8,100,0.0027667060494422913
8,120,0.0026804357767105103
9,20,0.0038148052990436554
9,40,0.0030582770705223083
9,60,0.003794584423303604
9,80,0.0033344849944114685
9,100,0.0034479498863220215
9,120,0.0023896321654319763
10,20,0.001958407461643219
10,40,0.0027082785964012146
10,60,0.0019468218088150024
10,80,0.0017440058290958405
10,100,0.0015913136303424835
10,120,0.0022130105644464493
11,20,0.0017832405865192413
11,40,0.0020038560032844543
11,60,0.0031244903802871704
11,80,0.002967212349176407
11,100,0.001497739925980568
11,120,0.0011731497943401337
12,20,0.0013107582926750183
12,40,0.0011703409254550934
12,60,0.0012959297746419907
12,80,0.0010036434978246689
12,100,0.0018207207322120667
12,120,0.0011959131807088852
13,20,0.0010152049362659454
13,40,0.0016721971333026886
13,60,0.0013320595026016235
13,80,0.0010486561805009842
13,100,0.0011029019951820374
13,120,0.0009882468730211258
